Country/City;Category;Slabs;Price (US sents/KWh)
Other UAE;Nationals;9001-10000;0.02
Other UAE;Expats;3001-4000;0.09
Oman;Nationals and Expats;1001-2000;0.026
Oman;Nationals and Expats;4001-5000;0.039
Kuwait;Private houses*;1001-2000;0.0066
Kuwait;Investment Residential Properties**;9001-10000;0.05
Bahrain;Nationals with one account;2001-3000;0.008
Bahrain;Nationals with one account;6001-7000;0.042
Bahrain;Expats and Nationals with more than one account;9001-10000;0.077
Dubai;Nationals;7001-8000;0.034
Dubai;Nationals;9001-10000;0.034
Dubai;Expats;1-1000;0.063
Dubai;Expats;4001-5000;0.087
Dubai;Expats;5001-6000;0.087
Dubai;Expats;>10000;0.1
Sharjah;Nationals;2001-3000;0.02
Sharjah;Expats;3001-4000;0.09
Sharjah;Expats;8001-9000;0.12
Sharjah;Expats;9001-10000;0.12
Other UAE;Nationals;1-1000;0.02
Other UAE;Nationals;3001-4000;0.02
Other UAE;Nationals;6001-7000;0.02
Other UAE;Nationals;7001-8000;0.02
Other UAE;Expats;1001-2000;0.076
Other UAE;Expats;2001-3000;0.09
Other UAE;Expats;6001-7000;0.12
Other UAE;Expats;9001-10000;0.12
Saudi Arabia;Nationals and Expats;1001-2000;0.048
Saudi Arabia;Nationals and Expats;8001-9000;0.08
Oman;Nationals and Expats;8001-9000;0.065
Oman;Nationals and Expats;9001-10000;0.065
Kuwait;Private houses*;2001-3000;0.0066
Kuwait;Investment Residential Properties**;1001-2000;0.033
Kuwait;Investment Residential Properties**;3001-4000;0.05
Bahrain;Nationals with one account;1-1000;0.008
Bahrain;Nationals with one account;4001-5000;0.024
Bahrain;Nationals with one account;9001-10000;0.042
Bahrain;Expats and Nationals with more than one account;1-1000;0.077
Bahrain;Expats and Nationals with more than one account;1001-2000;0.077
Bahrain;Expats and Nationals with more than one account;8001-9000;0.077
Bahrain;Expats and Nationals with more than one account;>10000;0.077
